Item,Categoria,Preco_Base
Hamburguer,Salgados,22.90
Batata Frita,Salgados,12.50
Pizza Mussarela,Salgados,39.90
Pizza Calabresa,Salgados,42.90
Salada Caesar,Saudaveis,28.00
Wrap de Frango,Saudaveis,26.50
Suco de Laranja,Bebidas,8.90
Refrigerante Lata,Bebidas,7.50
Agua Mineral,Bebidas,4.50
Cafe Expresso,Bebidas,6.90
Brownie,Doces,9.90
Torta de Limao,Doces,12.90
Acai 300ml,Doces,15.90
Smoothie de Morango,Doces,14.50
Sushi 8 pecas,Oriental,32.00
Yakisoba,Oriental,29.90
Sorvete 2 bolas,Doces,10.90
Esfiha,Salgados,6.50
Pastel,Salgados,9.50
Empanada,Salgados,8.90
